Абсолютный путь к файлу,Относительный путь к файлу,номер звезды
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8362.txt,second_dataset/1_1726.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1948.txt,second_dataset/1_1026.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6975.txt,second_dataset/2_0289.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1792.txt,second_dataset/1_1098.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3759.txt,second_dataset/2_0442.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2074.txt,second_dataset/5_0186.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2617.txt,second_dataset/2_0141.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1271.txt,second_dataset/1_0793.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5823.txt,second_dataset/5_0603.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3704.txt,second_dataset/1_0607.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7773.txt,second_dataset/1_0582.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5503.txt,second_dataset/3_0003.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4164.txt,second_dataset/5_0476.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6982.txt,second_dataset/3_0103.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7701.txt,second_dataset/4_0236.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/791.txt,second_dataset/5_0265.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7300.txt,second_dataset/1_0441.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8561.txt,second_dataset/1_1458.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8137.txt,second_dataset/1_0672.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4615.txt,second_dataset/1_0214.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5047.txt,second_dataset/5_0532.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2510.txt,second_dataset/3_0233.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/587.txt,second_dataset/4_0024.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5569.txt,second_dataset/4_0079.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/396.txt,second_dataset/5_0177.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6006.txt,second_dataset/1_1174.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/274.txt,second_dataset/1_0941.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/351.txt,second_dataset/3_0152.txt,3
